Crop,Spacing,Optimal pH Range,Optimal Humidity Range,Optimal Temperature Range,Days To Germinate,Days to Maturity
Asparagus,,,,60-85,14-18,
"Bean, lima",,,,75-85,4-10,
"Bean, snap",,,,75-85,4-10,
Beet,,,,60-85,4-10,
Broccoli,,,,60-85,7-10,
Brussels sprouts,,,,60-85,3-10,
Cabbage,,,,60-85,5-10,
Carrot,,,,65-85,6,
Cauliflower,,,,65-85,4-10,
Celery,,,,60-70,10,
Chinese cabbage,,,,60-85,4-10,
Collards,,,,60-85,5-10,
Corn,,,,65-95,4-10,
Cucumber,,,,65-95,5-7,
Eggplant,,,,75-85,10-15,
Endive/Escarole,,,,60-75,10-14,
Garlic,,,,65-85,7-14,
Kale,12-18,5.5-6.8,55-60,60-85,5-7,
Kohlrabi,,,,60-95,5-10,
Leeks,,,,65-85,8-16,
Lettuce,10-12,5.5-5.8,55-60,60-75,2-10,
Muskmelon,,,,75-95,4-10,
Mustard,,,,60-75,4-6,
Okra,,,,85-95,7-12,
Onion,,,,65-85,4-12,
Parsley,,,,65-85,35-42,
Parsnip,,,,65-75,5-28,
Pea,,,,65-75,5-7,
Pepper,,,,65-75,7-10,
Pumpkin,,,,85-95,4-10,
Radicchio,,,,60-75,5-7,
Radish,,,,65-85,4-10,
Spinach,,,,65-75,6-14,
Squash,,,,85-95,7-10,
Swiss chard,,,,65-85,7,
Tomato,,,,65-85,5-7,
Turnip,,,,60-95,3-10,
Watermelon,,,,70-95,4-10,
